source,target,type,weight
chorghemaruti64-creator,imran-siddique,co_comment,2
amye,chorghemaruti64-creator,co_comment,1
amye,darrelmiller,co_comment,5
amye,mikeas1,co_comment,1
chorghemaruti64-creator,darrelmiller,co_comment,4
chorghemaruti64-creator,mikeas1,co_comment,1
darrelmiller,mikeas1,co_comment,5
Tehsmash,chorghemaruti64-creator,co_comment,1
Tehsmash,darrelmiller,co_comment,5
Tehsmash,mikeas1,co_comment,2
chorghemaruti64-creator,vinoo999,co_comment,1
darrelmiller,vinoo999,co_comment,2
The-Nexus-Guard,chorghemaruti64-creator,co_comment,2
The-Nexus-Guard,douglasborthwick-crypto,co_comment,1
The-Nexus-Guard,imran-siddique,co_comment,1
chorghemaruti64-creator,douglasborthwick-crypto,co_comment,1
douglasborthwick-crypto,imran-siddique,co_comment,1
alexec,chorghemaruti64-creator,co_comment,1
The-Nexus-Guard,yarolegovich,co_comment,1
darrelmiller,yarolegovich,co_comment,4
ishymko,yarolegovich,co_comment,1
The-Nexus-Guard,alexec,co_comment,1
alexec,vinoo999,co_comment,1
amye,muscariello,co_comment,2
dgenio,mikeas1,co_comment,1
dgenio,yarolegovich,co_comment,1
mikeas1,yarolegovich,co_comment,2
dgenio,gijswalraven,co_comment,2
edenreich,mikeas1,co_comment,1
darrelmiller,matoushavlena,co_comment,2
holtskinner,muscariello,co_comment,3
holtskinner,vinoo999,co_comment,2
muscariello,vinoo999,co_comment,1
Tehsmash,herczyn,co_comment,2
Tehsmash,holtskinner,co_comment,3
darrelmiller,herczyn,co_comment,2
darrelmiller,holtskinner,co_comment,5
herczyn,holtskinner,co_comment,1
Tehsmash,edenreich,co_comment,1
darrelmiller,dgenio,co_comment,1
dgenio,matoushavlena,co_comment,1
matoushavlena,yarolegovich,co_comment,1
Tehsmash,alexec,co_comment,1
Tehsmash,amye,co_comment,3
Tehsmash,matoushavlena,co_comment,1
Tehsmash,pstephengoogle,co_comment,1
alexec,amye,co_comment,1
alexec,darrelmiller,co_comment,1
alexec,matoushavlena,co_comment,1
alexec,pstephengoogle,co_comment,1
amye,matoushavlena,co_comment,1
amye,pstephengoogle,co_comment,1
darrelmiller,pstephengoogle,co_comment,4
matoushavlena,pstephengoogle,co_comment,1
Tehsmash,vinoo999,co_comment,1
Tehsmash,yarolegovich,co_comment,2
amye,vinoo999,co_comment,1
amye,yarolegovich,co_comment,1
vinoo999,yarolegovich,co_comment,1
Tehsmash,madankumarpichamuthu,co_comment,2
darrelmiller,madankumarpichamuthu,co_comment,2
amye,madankumarpichamuthu,co_comment,1
Tehsmash,muscariello,co_comment,2
darrelmiller,muscariello,co_comment,4
darrelmiller,lkawka,co_comment,2
lkawka,yarolegovich,co_comment,1
darrelmiller,edenreich,co_comment,2
edenreich,vinoo999,co_comment,1
Tehsmash,lkawka,co_comment,1
herczyn,lkawka,co_comment,1
herczyn,pstephengoogle,co_comment,1
lkawka,pstephengoogle,co_comment,1
edenreich,pstephengoogle,co_comment,1
ToddSegal,darrelmiller,co_comment,2
ToddSegal,holtskinner,co_comment,3
mikeas1,zeroasterisk,co_comment,1
darrelmiller,maeste,co_comment,2
maeste,pstephengoogle,co_comment,2
darrelmiller,kthota-g,co_comment,4
kthota-g,mikeas1,co_comment,1
izzymsft,maeste,co_comment,1
holtskinner,ognis1205,co_comment,3
holtskinner,pstephengoogle,co_comment,4
ognis1205,pstephengoogle,co_comment,1
inesmcm26,mikeas1,co_comment,1
edenreich,holtskinner,co_comment,2
darrelmiller,izzymsft,co_comment,1
holtskinner,izzymsft,co_comment,1
kthota-g,ognis1205,co_comment,1
jland-redhat,pstephengoogle,co_comment,1
darkhaniop,mikeas1,co_comment,1
darkhaniop,zeroasterisk,co_comment,2
holtskinner,whitlockjc,co_comment,2
darkhaniop,holtskinner,co_comment,3
darkhaniop,koverholt,co_comment,1
holtskinner,jmandel,co_comment,1
holtskinner,kthota-g,co_comment,5
jmandel,kthota-g,co_comment,2
holtskinner,robert-at-pretension-io,co_comment,3
holtskinner,logan272,co_comment,2
logan272,pstephengoogle,co_comment,1
logan272,robert-at-pretension-io,co_comment,1
pstephengoogle,robert-at-pretension-io,co_comment,1
darkhaniop,darrelmiller,co_comment,1
darkhaniop,robert-at-pretension-io,co_comment,1
darkhaniop,swapydapy,co_comment,1
darkhaniop,whysage,co_comment,1
darrelmiller,robert-at-pretension-io,co_comment,1
darrelmiller,swapydapy,co_comment,2
darrelmiller,whysage,co_comment,1
darrelmiller,zeroasterisk,co_comment,1
robert-at-pretension-io,swapydapy,co_comment,1
robert-at-pretension-io,whysage,co_comment,1
robert-at-pretension-io,zeroasterisk,co_comment,1
swapydapy,whysage,co_comment,1
swapydapy,zeroasterisk,co_comment,1
whysage,zeroasterisk,co_comment,1
darkhaniop,djsamseng,co_comment,1
djsamseng,holtskinner,co_comment,2
jmandel,vinoo999,co_comment,1
kthota-g,princejha95,co_comment,1
pstephengoogle,rajeshvelicheti,co_comment,3
DJ-os,holtskinner,co_comment,1
darkhaniop,princejha95,co_comment,1
holtskinner,princejha95,co_comment,1
princejha95,zeroasterisk,co_comment,1
kthota-g,robert-at-pretension-io,co_comment,1
kthota-g,rajeshvelicheti,co_comment,1
binbandit,holtskinner,co_comment,1
binbandit,kthota-g,co_comment,1
binbandit,pstephengoogle,co_comment,1
holtskinner,vongosling,co_comment,1
holtskinner,zeroasterisk,co_comment,4
whitlockjc,zeroasterisk,co_comment,1
darkhaniop,kthota-g,co_comment,2
darkhaniop,rajeshvelicheti,co_comment,1
rajeshvelicheti,zeroasterisk,co_comment,2
holtskinner,rajeshvelicheti,co_comment,4
rajeshvelicheti,vongosling,co_comment,1
kthota-g,whitlockjc,co_comment,1
rajeshvelicheti,whitlockjc,co_comment,1
darkhaniop,ognis1205,co_comment,1
darkhaniop,whitlockjc,co_comment,1
ToddSegal,whitlockjc,co_comment,1
holtskinner,mikeas1,co_comment,4
didier-durand,jland-redhat,co_comment,1
didier-durand,kthota-g,co_comment,1
didier-durand,moonbox3,co_comment,1
didier-durand,oliverlabs,co_comment,1
jland-redhat,kthota-g,co_comment,1
jland-redhat,moonbox3,co_comment,1
jland-redhat,oliverlabs,co_comment,1
kthota-g,moonbox3,co_comment,2
kthota-g,oliverlabs,co_comment,1
moonbox3,oliverlabs,co_comment,1
dmandar,holtskinner,co_comment,3
dmandar,whitlockjc,co_comment,2
holtskinner,moonbox3,co_comment,1
holtskinner,swapydapy,co_comment,3
didier-durand,holtskinner,co_comment,2
rajeshvelicheti,robert-at-pretension-io,co_comment,1
holtskinner,jland-redhat,co_comment,1
jland-redhat,mikeas1,co_comment,1
darrelmiller,ognis1205,co_comment,1
izzymsft,pstephengoogle,co_comment,1
kthota-g,pstephengoogle,co_comment,2
pstephengoogle,zeroasterisk,co_comment,1
chorghemaruti64-creator,edenreich,co_comment,1
darrelmiller,inesmcm26,co_comment,1
holtskinner,inesmcm26,co_comment,1
inesmcm26,swapydapy,co_comment,1
edenreich,swapydapy,co_comment,2
matoushavlena,swapydapy,co_comment,1
kthota-g,matoushavlena,co_comment,1
ToddSegal,amye,co_comment,2
ToddSegal,edenreich,co_comment,1
ToddSegal,pstephengoogle,co_comment,1
ToddSegal,swapydapy,co_comment,1
amye,edenreich,co_comment,1
